Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y,State
5/1/12,78702,"Austin, TX",,223700,0,,106,0.0392,,51,0.0625,,44,0.4667,,0,-1,,14,0.75,,0,,,250400,0.0036,,106,0.0392,,0,0,,TX
6/1/12,78702,"Austin, TX",,230700,0.0313,,91,-0.1415,,50,-0.0196,,30,-0.3182,,2,,,16,0.1429,,0,,,256600,0.0248,,91,-0.1415,,0,0,,TX
7/1/12,78702,"Austin, TX",,250000,0.0837,,81,-0.1099,,55,0.1,,24,-0.2,,0,-1,,20,0.25,,0,,,265000,0.0327,,81,-0.1099,,0,0,,TX
8/1/12,78702,"Austin, TX",,249100,-0.0036,,88,0.0864,,64,0.1636,,32,0.3333,,2,,,20,0,,0,,,264700,-0.0011,,88,0.0864,,0,0,,TX
9/1/12,78702,"Austin, TX",,242000,-0.0285,,95,0.0795,,59,-0.0781,,20,-0.375,,0,-1,,8,-0.6,,0,,,272600,0.0298,,95,0.0795,,0,0,,TX
10/1/12,78702,"Austin, TX",,242000,0,,98,0.0316,,62,0.0508,,38,0.9,,2,,,6,-0.25,,0,,,285300,0.0466,,98,0.0316,,0,0,,TX
11/1/12,78702,"Austin, TX",,259800,0.0736,,90,-0.0816,,69,0.1129,,20,-0.4737,,0,-1,,12,1,,0,,,296900,0.0407,,90,-0.0816,,0,0,,TX
12/1/12,78702,"Austin, TX",,262000,0.0085,,83,-0.0778,,80,0.1594,,12,-0.4,,0,,,12,0,,0,,,299900,0.0101,,83,-0.0778,,0,0,,TX
1/1/13,78702,"Austin, TX",,256200,-0.0221,,73,-0.1205,,89,0.1125,,28,1.3333,,2,,,8,-0.3333,,0,,,307100,0.024,,73,-0.1205,,0,0,,TX
2/1/13,78702,"Austin, TX",,260800,0.018,,73,0,,80,-0.1011,,24,-0.1429,,0,-1,,8,0,,0,,,307400,0.001,,73,0,,0,0,,TX
